local,value,latitude,longitude
2017-01-03,222.0,28.5648,77.1744
2017-01-04,214.25,28.564799999999995,77.1744
2017-01-05,311.375,28.564799999999995,77.17440000000005
2017-01-06,184.1081081081081,28.5648,77.1744
2017-01-07,164.97368421052633,28.5648,77.17439999999999
2017-01-08,227.5,28.5648,77.1744
2017-01-09,184.10526315789474,28.564799999999998,77.17440000000003
2017-01-10,130.08823529411765,28.564799999999995,77.1744
2017-01-11,227.75,28.564799999999995,77.17440000000003
2017-01-12,237.1875,28.564799999999995,77.17440000000002
2017-01-13,355.45,28.564799999999998,77.17440000000003
2017-01-14,411.0,28.5648,77.1744
2017-01-15,,,
2017-01-16,138.23333333333332,28.564799999999995,77.17440000000003
2017-01-17,187.0,28.564799999999995,77.17440000000002
2017-01-18,193.57894736842104,28.564799999999998,77.17440000000003
2017-01-19,149.55,28.564799999999998,77.17440000000003
2017-01-20,182.69230769230768,28.564799999999995,77.1744
2017-01-21,,,
2017-01-22,,,
2017-01-23,,,
2017-01-24,173.83333333333334,28.564799999999995,77.1744
2017-01-25,192.96875,28.564799999999995,77.17440000000002
2017-01-26,124.70731707317073,28.56480000000001,77.17439999999999
2017-01-27,187.0,28.5648,77.1744
2017-01-28,107.5,28.5648,77.1744
2017-01-29,,,
2017-01-30,63.6,28.5648,77.1744
2017-01-31,135.72727272727272,28.564799999999995,77.1744
2017-02-01,244.64,28.564799999999995,77.17440000000005
2017-02-02,212.11428571428573,28.564799999999995,77.1744
2017-02-03,288.1578947368421,28.5648,77.17439999999999
2017-02-04,186.46341463414635,28.56480000000001,77.17439999999999
2017-02-05,179.19230769230768,28.564799999999995,77.17440000000005
2017-02-06,122.83333333333333,28.564799999999998,77.17440000000003
2017-02-07,100.08333333333333,28.564799999999995,77.1744
2017-02-08,146.36363636363637,28.564799999999995,77.17440000000005
2017-02-09,103.61538461538461,28.564799999999995,77.1744
2017-02-10,59.84615384615385,28.564799999999995,77.1744
2017-02-11,125.0,28.5648,77.1744
2017-02-12,,,
2017-02-13,120.5,28.5648,77.1744
2017-02-14,116.81818181818181,28.564799999999995,77.1744
2017-02-15,137.8695652173913,28.564799999999995,77.17440000000005
2017-02-16,123.42857142857143,28.564799999999998,77.17440000000003
2017-02-17,112.71428571428571,28.564799999999998,77.1744
2017-02-18,111.5,28.5648,77.1744
2017-02-19,,,
2017-02-20,,,
2017-02-21,133.2941176470588,28.564799999999995,77.17440000000002
2017-02-22,80.84615384615384,28.564799999999995,77.17440000000005
2017-02-23,117.6,28.5648,77.1744
2017-02-24,,,
2017-02-25,,,
2017-02-26,,,
2017-02-27,105.93333333333334,28.564799999999995,77.17440000000002
2017-02-28,97.0,28.5648,77.1744
2017-03-01,81.5,28.5648,77.1744
2017-03-02,81.28571428571429,28.564799999999998,77.17440000000003
2017-03-03,81.61904761904762,28.564799999999998,77.17440000000003
2017-03-04,89.9,28.564799999999998,77.17440000000003
2017-03-05,92.71428571428571,28.564799999999998,77.17440000000003
2017-03-06,79.89473684210526,28.5648,77.17439999999999
2017-03-07,126.05263157894737,28.5648,77.17439999999999
2017-03-08,56.1,28.564799999999998,77.17440000000003
2017-03-09,67.8,28.564799999999998,77.17440000000003
2017-03-10,44.56521739130435,28.564799999999995,77.17440000000005
2017-03-11,57.903225806451616,28.564799999999995,77.17440000000002
2017-03-12,70.4375,28.564799999999995,77.17440000000002
2017-03-13,70.2,28.56480000000001,77.17439999999999
2017-03-14,80.77777777777777,28.564799999999998,77.1744
2017-03-15,102.73684210526316,28.5648,77.17439999999999
2017-03-16,104.67567567567568,28.5648,77.1744
2017-03-17,87.1,28.564799999999998,77.17440000000003
2017-03-18,104.28205128205128,28.564800000000005,77.17439999999999
2017-03-19,101.6,28.56480000000001,77.17439999999999
2017-03-20,116.36363636363636,28.564799999999995,77.17440000000002
2017-03-21,120.76666666666667,28.564799999999995,77.17440000000003
2017-03-22,115.7,28.564799999999998,77.1744
2017-03-23,,,
2017-03-24,,,
2017-03-25,,,
2017-03-26,,,
2017-03-27,,,
2017-03-28,,,
2017-03-29,,,
2017-03-30,,,
2017-03-31,,,
2017-04-01,,,
2017-04-02,,,
2017-04-03,,,
2017-04-04,,,
2017-04-05,,,
2017-04-06,,,
2017-04-07,,,
2017-04-08,,,
2017-04-09,,,
2017-04-10,,,
2017-04-11,81.0,28.5648,77.1744
2017-04-12,88.0,28.5648,77.1744
2017-04-13,161.44444444444446,28.564799999999998,77.17440000000003
2017-04-14,197.02941176470588,28.564799999999995,77.1744
2017-04-15,165.46666666666667,28.564799999999995,77.17440000000003
2017-04-16,176.35714285714286,28.564799999999995,77.17440000000003
2017-04-17,166.16666666666666,28.564799999999995,77.1744
2017-04-18,158.33333333333334,28.564799999999998,77.17440000000003
2017-04-19,133.76923076923077,28.564800000000005,77.17439999999999
2017-04-20,124.875,28.564799999999998,77.1744
2017-04-21,,,
2017-04-22,,,
2017-04-23,,,
2017-04-24,21.0,28.5648,77.1744
2017-04-25,89.54166666666667,28.564799999999995,77.17440000000005
2017-04-26,63.651162790697676,28.564800000000016,77.17439999999998
2017-04-27,84.9375,28.564799999999995,77.17440000000002
2017-04-28,,,
2017-04-29,113.0,28.564799999999995,77.1744
2017-04-30,85.20689655172414,28.564799999999995,77.17440000000003
2017-05-01,68.93333333333334,28.564799999999995,77.17440000000002
2017-05-02,66.0,28.5648,77.1744
2017-05-03,185.0,28.5648,77.1744
2017-05-04,160.75,28.5648,77.1744
2017-05-05,149.42424242424244,28.564799999999995,77.17440000000002
2017-05-06,159.8125,28.564800000000023,77.17439999999998
2017-05-07,149.27659574468086,28.564800000000023,77.17439999999998
2017-05-08,174.95454545454547,28.564800000000016,77.17439999999998
2017-05-09,103.30232558139535,28.564800000000016,77.17439999999998
2017-05-10,87.21951219512195,28.56480000000001,77.17439999999999
2017-05-11,151.1590909090909,28.564800000000016,77.17439999999998
2017-05-12,198.88888888888889,28.56480000000002,77.17439999999998
2017-05-13,144.45238095238096,28.564800000000012,77.17439999999999
2017-05-14,115.23809523809524,28.564800000000012,77.17439999999999
2017-05-15,93.2,28.564799999999998,77.1744
2017-05-16,87.03448275862068,28.564799999999995,77.17440000000003
2017-05-17,74.96875,28.564799999999995,77.17440000000002
2017-05-18,108.57894736842105,28.564799999999998,77.17440000000003
2017-05-19,84.5,28.564799999999998,77.17440000000003
2017-05-20,112.73333333333333,28.564799999999995,77.17440000000003
2017-05-21,156.35135135135135,28.5648,77.1744
2017-05-22,158.85365853658536,28.56480000000001,77.17439999999999
2017-05-23,112.5,28.564799999999995,77.1744
2017-05-24,93.0,28.56480000000001,77.17439999999999
2017-05-25,116.5,28.564799999999995,77.1744
2017-05-26,98.48571428571428,28.564799999999995,77.1744
2017-05-27,86.1025641025641,28.564800000000005,77.17439999999999
2017-05-28,44.77142857142857,28.564799999999995,77.1744
2017-05-29,66.57894736842105,28.5648,77.17439999999999
2017-05-30,61.94871794871795,28.564800000000005,77.17439999999999
2017-05-31,68.11764705882354,28.564799999999995,77.1744
2017-06-01,123.78787878787878,28.564799999999995,77.17440000000002
2017-06-02,131.3111111111111,28.56480000000002,77.17439999999998
2017-06-03,141.38297872340425,28.564800000000023,77.17439999999998
2017-06-04,134.83870967741936,28.564799999999995,77.17440000000002
2017-06-05,92.53333333333333,28.564799999999995,77.17440000000002
2017-06-06,94.55555555555556,28.564799999999995,77.17440000000005
2017-06-07,52.82857142857143,28.564799999999995,77.1744
2017-06-08,51.073170731707314,28.56480000000001,77.17439999999999
2017-06-09,124.02941176470588,28.564799999999995,77.1744
2017-06-10,79.46341463414635,28.56480000000001,77.17439999999999
2017-06-11,60.29545454545455,28.564800000000016,77.17439999999998
2017-06-12,72.25,28.564799999999998,77.1744
2017-06-13,74.48275862068965,28.564799999999995,77.17440000000003
2017-06-14,99.85106382978724,28.564800000000023,77.17439999999998
2017-06-15,118.45,28.56480000000001,77.17439999999999
2017-06-16,49.38095238095238,28.564800000000012,77.17439999999999
2017-06-17,61.904761904761905,28.564800000000012,77.17439999999999
2017-06-18,112.94871794871794,28.564800000000005,77.17439999999999
2017-06-19,56.18518518518518,28.564799999999995,77.17440000000005
2017-06-20,60.53125,28.564799999999995,77.17440000000002
2017-06-21,65.73684210526316,28.5648,77.17439999999999
2017-06-22,65.82051282051282,28.564800000000005,77.17439999999999
2017-06-23,64.80555555555556,28.564799999999998,77.1744
2017-06-24,89.02272727272727,28.564800000000016,77.17439999999998
2017-06-25,78.07142857142857,28.564800000000012,77.17439999999999
2017-06-26,61.31428571428572,28.564799999999995,77.1744
2017-06-27,60.23076923076923,28.564800000000005,77.17439999999999
2017-06-28,40.14705882352941,28.564799999999995,77.1744
2017-06-29,43.35,28.56480000000001,77.17439999999999
2017-06-30,37.906976744186046,28.564800000000016,77.17439999999998
2017-07-01,47.827586206896555,28.564799999999995,77.17440000000003
