,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag,Location
83435,2015.0,3.0,6.0,9.0,1.0,29.0,28.6508,77.3152,0.6120000290684402,0.6120000290684402,1.0,3.0,"Anand Vihar, Delhi - DPCC"
84337,2015.0,3.0,6.0,9.0,1.0,30.0,28.688454999999998,77.17575,0.636000030208379,0.636000030208379,1.0,3.0,"Ashok Vihar, Delhi - DPCC"
80278,2015.0,3.0,6.0,9.0,1.0,26.0,28.48,77.13,-9999.0,-9999.0,1.0,-9999.0,"Aya Nagar, New Delhi - IMD"
83886,2015.0,3.0,6.0,9.0,1.0,30.0,28.72835,77.197484,0.5980000284034759,0.5980000284034759,1.0,3.0,"Burari Crossing, New Delhi - IMD"
81631,2015.0,3.0,6.0,9.0,1.0,27.0,28.55,77.28,-9999.0,-9999.0,1.0,-9999.0,"CRRI Mathura Road, New Delhi - IMD"
85690,2015.0,3.0,6.0,9.0,1.0,32.0,28.7504,77.11717,0.6450000306358561,0.6450000306358561,1.0,3.0,"DTU, New Delhi - CPCB"
81180,2015.0,3.0,6.0,9.0,1.0,27.0,28.499727000000004,77.267095,-9999.0,-9999.0,1.0,-9999.0,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
82533,2015.0,3.0,6.0,9.0,1.0,29.0,28.572038,77.070837,0.6280000298283994,0.6280000298283994,1.0,3.0,"Dwarka-Sector 8, Delhi - DPCC"
83435,2015.0,3.0,6.0,9.0,1.0,29.0,28.655602000000002,77.294687,0.6120000290684402,0.6120000290684402,1.0,3.0,"East Arjun Nagar, Delhi - CPCB"
82533,2015.0,3.0,6.0,9.0,1.0,29.0,28.56,77.094,0.6280000298283994,0.6280000298283994,1.0,3.0,"IGI Airport Terminal - 3, New Delhi - IMD"
84337,2015.0,3.0,6.0,9.0,1.0,30.0,28.68255,77.30512,0.636000030208379,0.636000030208379,1.0,3.0,"IHBAS, Dilshad Garden,New Delhi - CPCB"
82984,2015.0,3.0,6.0,9.0,1.0,29.0,28.624059999999997,77.2411,0.6170000293059275,0.6170000293059275,1.0,3.0,"ITO, New Delhi - CPCB"
83886,2015.0,3.0,6.0,9.0,1.0,30.0,28.725833,77.162752,0.5980000284034759,0.5980000284034759,1.0,3.0,"Jahangirpuri, Delhi - DPCC"
82082,2015.0,3.0,6.0,9.0,1.0,27.0,28.582846000000004,77.23436600000001,0.5660000268835574,0.5660000268835574,1.0,3.0,"Jawaharlal Nehru Stadium, Delhi - DPCC"
82082,2015.0,3.0,6.0,9.0,1.0,27.0,28.59,77.24,0.5660000268835574,0.5660000268835574,1.0,3.0,"Lodhi Road, New Delhi - IMD"
82984,2015.0,3.0,6.0,9.0,1.0,29.0,28.612441999999998,77.23727199999999,0.6170000293059275,0.6170000293059275,1.0,3.0,"Major Dhyan Chand National Stadium, Delhi - DPCC"
82984,2015.0,3.0,6.0,9.0,1.0,29.0,28.6341,77.2005,0.6170000293059275,0.6170000293059275,1.0,3.0,"Mandir Marg, New Delhi - DPCC"
82984,2015.0,3.0,6.0,9.0,1.0,29.0,28.608052,77.036187,0.6170000293059275,0.6170000293059275,1.0,3.0,"NSIT Dwarka, New Delhi - CPCB"
82984,2015.0,3.0,6.0,9.0,1.0,29.0,28.609013,76.985453,0.6170000293059275,0.6170000293059275,1.0,3.0,"Najafgarh, Delhi - DPCC"
86592,2015.0,3.0,6.0,9.0,1.0,32.0,28.853959999999997,77.09178399999999,0.6190000294009224,0.6190000294009224,1.0,3.0,"Narela, Delhi - DPCC"
82533,2015.0,3.0,6.0,9.0,1.0,29.0,28.563867,77.26080999999999,0.6280000298283994,0.6280000298283994,1.0,3.0,"Nehru Nagar, Delhi - DPCC"
