,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean,Location
11315,2016.0,6.0,8.0,7.0,47.0,12.0,28.6508,77.3152,0.5040000239387155,0.7340000348631293,3.0,0.0,0.7340000348631293,"Anand Vihar, Delhi - DPCC"
11316,2016.0,6.0,8.0,7.0,47.0,12.0,28.688454999999998,77.17575,0.3270000155316666,0.6840000324882567,3.0,0.0,1.0410000494448468,"Ashok Vihar, Delhi - DPCC"
11047,2016.0,6.0,8.0,7.0,47.0,9.0,28.48,77.13,0.24500001163687557,0.904000042937696,3.0,0.0,0.904000042937696,"Aya Nagar, New Delhi - IMD"
11451,2016.0,6.0,8.0,7.0,47.0,13.0,28.72835,77.197484,0.51400002441369,0.6430000305408612,3.0,0.0,0.7720000366680324,"Burari Crossing, New Delhi - IMD"
11181,2016.0,6.0,8.0,7.0,47.0,10.0,28.55,77.28,0.2550000121118501,0.6170000293059275,3.0,0.0,0.9790000465000048,"CRRI Mathura Road, New Delhi - IMD"
11451,2016.0,6.0,8.0,7.0,47.0,13.0,28.7504,77.11717,0.51400002441369,0.6430000305408612,3.0,0.0,0.7720000366680324,"DTU, New Delhi - CPCB"
11046,2016.0,6.0,8.0,7.0,47.0,9.0,28.499727000000004,77.267095,0.25400001206435263,0.5010000237962231,3.0,0.0,0.5010000237962231,"Dr. Karni Singh Shooting Range, Delhi - DPCC†"
11182,2016.0,6.0,8.0,7.0,47.0,10.0,28.572038,77.070837,0.44900002132635564,0.5890000279759988,3.0,0.0,0.5890000279759988,"Dwarka-Sector 8, Delhi - DPCC"
11316,2016.0,6.0,8.0,7.0,47.0,12.0,28.655602000000002,77.294687,0.3270000155316666,0.6840000324882567,3.0,0.0,1.0410000494448468,"East Arjun Nagar, Delhi - CPCB"
11182,2016.0,6.0,8.0,7.0,47.0,10.0,28.56,77.094,0.44900002132635564,0.5890000279759988,3.0,0.0,0.5890000279759988,"IGI Airport Terminal - 3, New Delhi - IMD"
11315,2016.0,6.0,8.0,7.0,47.0,12.0,28.68255,77.30512,0.5040000239387155,0.7340000348631293,3.0,0.0,0.7340000348631293,"IHBAS, Dilshad Garden,New Delhi - CPCB"
11181,2016.0,6.0,8.0,7.0,47.0,10.0,28.624059999999997,77.2411,0.2550000121118501,0.6170000293059275,3.0,0.0,0.9790000465000048,"ITO, New Delhi - CPCB"
11451,2016.0,6.0,8.0,7.0,47.0,13.0,28.725833,77.162752,0.51400002441369,0.6430000305408612,3.0,0.0,0.7720000366680324,"Jahangirpuri, Delhi - DPCC"
11181,2016.0,6.0,8.0,7.0,47.0,10.0,28.582846000000004,77.23436600000001,0.2550000121118501,0.6170000293059275,3.0,0.0,0.9790000465000048,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11181,2016.0,6.0,8.0,7.0,47.0,10.0,28.59,77.24,0.2550000121118501,0.6170000293059275,3.0,0.0,0.9790000465000048,"Lodhi Road, New Delhi - IMD"
11181,2016.0,6.0,8.0,7.0,47.0,10.0,28.612441999999998,77.23727199999999,0.2550000121118501,0.6170000293059275,3.0,0.0,0.9790000465000048,"Major Dhyan Chand National Stadium, Delhi - DPCC"
