local,location,city,country,value,unit,latitude,longitude
2015-06-29 00:30:00,Punjabi Bagh,Delhi,IN,25.0,µg/m³,28.6683,77.1167
2015-06-29 01:10:00,Punjabi Bagh,Delhi,IN,25.0,µg/m³,28.6683,77.1167
2015-06-29 02:30:00,Punjabi Bagh,Delhi,IN,21.0,µg/m³,28.6683,77.1167
2015-06-29 03:10:00,Punjabi Bagh,Delhi,IN,21.0,µg/m³,28.6683,77.1167
2015-06-29 03:30:00,Punjabi Bagh,Delhi,IN,6.0,µg/m³,28.6683,77.1167
2015-06-29 04:10:00,Punjabi Bagh,Delhi,IN,6.0,µg/m³,28.6683,77.1167
2015-06-29 04:30:00,Punjabi Bagh,Delhi,IN,32.0,µg/m³,28.6683,77.1167
2015-06-29 05:10:00,Punjabi Bagh,Delhi,IN,32.0,µg/m³,28.6683,77.1167
2015-06-29 05:30:00,Punjabi Bagh,Delhi,IN,48.0,µg/m³,28.6683,77.1167
2015-06-29 06:10:00,Punjabi Bagh,Delhi,IN,48.0,µg/m³,28.6683,77.1167
2015-06-29 06:30:00,Punjabi Bagh,Delhi,IN,77.0,µg/m³,28.6683,77.1167
2015-06-29 07:10:00,Punjabi Bagh,Delhi,IN,77.0,µg/m³,28.6683,77.1167
2015-06-29 07:30:00,Punjabi Bagh,Delhi,IN,31.0,µg/m³,28.6683,77.1167
2015-06-29 08:10:00,Punjabi Bagh,Delhi,IN,31.0,µg/m³,28.6683,77.1167
2015-06-29 09:10:00,Punjabi Bagh,Delhi,IN,59.0,µg/m³,28.6683,77.1167
2015-06-29 09:30:00,Punjabi Bagh,Delhi,IN,45.0,µg/m³,28.6683,77.1167
2015-06-29 10:10:00,Punjabi Bagh,Delhi,IN,45.0,µg/m³,28.6683,77.1167
2015-06-29 10:30:00,Punjabi Bagh,Delhi,IN,33.0,µg/m³,28.6683,77.1167
2015-06-29 11:10:00,Punjabi Bagh,Delhi,IN,33.0,µg/m³,28.6683,77.1167
2015-06-29 11:30:00,Punjabi Bagh,Delhi,IN,29.0,µg/m³,28.6683,77.1167
2015-06-29 12:10:00,Punjabi Bagh,Delhi,IN,29.0,µg/m³,28.6683,77.1167
2015-06-29 13:10:00,Punjabi Bagh,Delhi,IN,22.0,µg/m³,28.6683,77.1167
2015-06-29 13:30:00,Punjabi Bagh,Delhi,IN,90.0,µg/m³,28.6683,77.1167
2015-06-29 14:10:00,Punjabi Bagh,Delhi,IN,90.0,µg/m³,28.6683,77.1167
2015-06-29 14:30:00,RK Puram,Delhi,IN,25.0,µg/m³,28.5648,77.1744
2015-06-29 14:30:00,Mandir Marg,Delhi,IN,23.0,µg/m³,28.6341,77.2005
2015-06-29 14:30:00,Anand Vihar,Delhi,IN,30.0,µg/m³,28.6508,77.3152
2015-06-29 14:30:00,Punjabi Bagh,Delhi,IN,38.0,µg/m³,28.6683,77.1167
2015-06-30 04:10:00,Punjabi Bagh,Delhi,IN,26.0,µg/m³,28.6683,77.1167
2015-06-30 04:10:00,Anand Vihar,Delhi,IN,56.0,µg/m³,28.6508,77.3152
2015-06-30 04:20:00,Punjabi Bagh,Delhi,IN,26.0,µg/m³,28.6683,77.1167
2015-06-30 04:30:00,Anand Vihar,Delhi,IN,93.0,µg/m³,28.6508,77.3152
