,AOD,Cloud_Fraction,Location,Date,PM25
26,0.38900001847650856,0.0,Mandir,2017-01-02,174.97916666666663
29,0.38900001847650856,0.0,Punjabi Bagh,2017-01-02,174.05405405405406
70,0.7300000346731395,0.012000000569969416,Sirifort,2017-01-05,183.85531914893616
81,0.3250000154366717,0.0,ITO,2017-01-06,152.96875
84,0.3250000154366717,0.0,Sirifort,2017-01-06,159.98478260869567
85,1.3180000626016408,0.06400000303983687,Sirifort,2017-01-06,159.98478260869567
88,0.3250000154366717,0.0,US Diplomatic Post: New Delhi,2017-01-06,145.83333333333334
90,0.8800000417977571,0.06700000318232924,Mandir,2017-01-06,151.33333333333334
91,0.3250000154366717,0.0,Mandir,2017-01-06,151.33333333333334
95,0.3250000154366717,0.0,Punjabi Bagh,2017-01-06,139.5
98,0.8800000417977571,0.06700000318232924,R K Puram,2017-01-06,184.1081081081081
100,0.3250000154366717,0.0,R K Puram,2017-01-06,184.1081081081081
101,1.3180000626016408,0.06400000303983687,R K Puram,2017-01-06,184.1081081081081
119,0.5640000267885625,0.16700000793207434,ITO,2017-01-08,141.20833333333334
121,0.46300002199132,0.009000000427477062,ITO,2017-01-08,141.20833333333334
123,0.46300002199132,0.009000000427477062,US Diplomatic Post: New Delhi,2017-01-08,132.67083333333332
125,0.5720000271685421,0.0,US Diplomatic Post: New Delhi,2017-01-08,132.67083333333332
128,0.46300002199132,0.009000000427477062,Sirifort,2017-01-08,132.83260869565217
129,0.5640000267885625,0.16700000793207434,Sirifort,2017-01-08,132.83260869565217
130,0.46300002199132,0.009000000427477062,Punjabi Bagh,2017-01-08,145.21875
131,0.5720000271685421,0.0,Punjabi Bagh,2017-01-08,145.21875
134,0.46300002199132,0.009000000427477062,Mandir,2017-01-08,131.8125
135,0.5720000271685421,0.0,Mandir,2017-01-08,131.8125
138,0.30700001458171755,0.3300000156741589,Punjabi Bagh,2017-01-09,146.375
140,0.30700001458171755,0.3300000156741589,R K Puram,2017-01-09,184.10526315789474
141,0.913000043365173,0.06400000303983687,R K Puram,2017-01-09,184.10526315789474
142,0.30700001458171755,0.3300000156741589,Sirifort,2017-01-09,148.92666666666662
143,0.913000043365173,0.06400000303983687,Sirifort,2017-01-09,148.92666666666662
144,0.30700001458171755,0.3300000156741589,US Diplomatic Post: New Delhi,2017-01-09,138.70833333333334
146,0.30700001458171755,0.3300000156741589,ITO,2017-01-09,120.77083333333331
148,0.30700001458171755,0.3300000156741589,Mandir,2017-01-09,104.46428571428572
150,0.3880000184290111,0.34000001614913344,ITO,2017-01-10,100.97894736842105
151,0.41800001985393465,0.12200000579468905,ITO,2017-01-10,100.97894736842105
156,0.41800001985393465,0.12200000579468905,Sirifort,2017-01-10,135.4644444444445
158,0.3880000184290111,0.34000001614913344,Sirifort,2017-01-10,135.4644444444445
159,0.41800001985393465,0.12200000579468905,US Diplomatic Post: New Delhi,2017-01-10,112.53333333333336
160,0.3880000184290111,0.34000001614913344,US Diplomatic Post: New Delhi,2017-01-10,112.53333333333336
163,0.41800001985393465,0.12200000579468905,R K Puram,2017-01-10,130.08823529411765
164,0.3880000184290111,0.34000001614913344,R K Puram,2017-01-10,130.08823529411765
167,0.3880000184290111,0.34000001614913344,Mandir,2017-01-10,113.16129032258064
169,0.1580000075045973,0.0,US Diplomatic Post: New Delhi,2017-01-11,171.65833333333333
170,0.3200000151991844,0.004000000189989804,US Diplomatic Post: New Delhi,2017-01-11,171.65833333333333
171,0.3200000151991844,0.004000000189989804,Mandir,2017-01-11,154.4090909090909
173,0.1580000075045973,0.0,Mandir,2017-01-11,154.4090909090909
178,0.1580000075045973,0.0,ITO,2017-01-11,157.14285714285714
179,0.3200000151991844,0.004000000189989804,ITO,2017-01-11,157.14285714285714
184,0.144000006839633,0.0,Sirifort,2017-01-11,168.16956521739132
185,0.3200000151991844,0.004000000189989804,Sirifort,2017-01-11,168.16956521739132
227,0.144000006839633,0.0,ITO,2017-01-14,178.54347826086956
235,0.7250000344356522,0.0,US Diplomatic Post: New Delhi,2017-01-15,174.19166666666663
251,0.7250000344356522,0.0,ITO,2017-01-15,173.67708333333337
277,0.1540000073146075,0.20000000949949026,Sirifort,2017-01-17,179.89487179487176
283,0.9170000435551628,0.1620000076945871,Mandir,2017-01-18,137.9787234042553
286,0.9170000435551628,0.1620000076945871,Punjabi Bagh,2017-01-18,172.08333333333337
295,0.9170000435551628,0.1620000076945871,US Diplomatic Post: New Delhi,2017-01-18,167.10833333333332
298,0.9170000435551628,0.1620000076945871,ITO,2017-01-18,118.46875
